file,date,latitude,longitude,ocean,profiler_code,institution_code,date_update,wmo,cyc,institution,dac,profiler,Month,Region
argo_000052.nc,2020-02-22,21.067431201672292,115.1254158810317,I,787605,IFREMER,2020-02-22,986788,83,"IFREMER, France",JAMSTEC,APEX float,February,Atlantic Ocean
argo_000053.nc,2020-02-23,18.163777777797172,103.90265886189323,P,537940,CSIRO,2020-02-23,548377,10,"CSIRO, Australia",CSIRO,Teledyne Webb Research float,February,Pacific Ocean
argo_000054.nc,2020-02-24,-1.1365013772794654,119.834728842667,I,695642,AOML,2020-02-24,947084,92,"CSIRO, Australia",CSIRO,Teledyne Webb Research float,February,Indian Ocean
argo_000055.nc,2020-02-25,19.921825276502595,68.05694523613681,A,151374,IFREMER,2020-02-25,591830,29,"AOML, USA",JAMSTEC,ARVOR float,February,Atlantic Ocean
argo_000056.nc,2020-02-26,-34.24798736662523,101.37506311449016,P,214397,IFREMER,2020-02-26,343767,79,"IFREMER, France",CSIRO,Teledyne Webb Research float,February,Indian Ocean
argo_000057.nc,2020-02-27,-27.261113942755564,72.15447308873937,I,348552,CSIRO,2020-02-27,645210,35,"JAMSTEC, Japan",IFREMER,Teledyne Webb Research float,February,Pacific Ocean
argo_000058.nc,2020-02-28,-37.060226220815025,78.39004962431271,A,486721,AOML,2020-02-28,527244,6,"IFREMER, France",JAMSTEC,ARVOR float,February,Atlantic Ocean
argo_000059.nc,2020-02-29,-18.853528500387817,90.2004370574696,P,523332,AOML,2020-02-29,604677,12,"JAMSTEC, Japan",IFREMER,Teledyne Webb Research float,February,Atlantic Ocean
argo_000060.nc,2020-03-01,-14.735976170183669,109.8941691349071,A,967461,IFREMER,2020-03-01,513532,38,"JAMSTEC, Japan",IFREMER,Teledyne Webb Research float,March,Atlantic Ocean
argo_000061.nc,2020-03-02,-22.362312934696767,118.72667753594361,I,980006,IFREMER,2020-03-02,963428,77,"IFREMER, France",AOML,ARVOR float,March,Indian Ocean
argo_000062.nc,2020-03-03,13.867938094875406,101.46187310916146,I,392575,IFREMER,2020-03-03,510184,93,"CSIRO, Australia",IFREMER,SOLO float,March,Pacific Ocean
argo_000063.nc,2020-03-04,-16.811033764916697,73.42134257338671,I,511124,AOML,2020-03-04,916698,19,"JAMSTEC, Japan",AOML,SOLO float,March,Indian Ocean
argo_000064.nc,2020-03-05,-21.73925687032025,73.70856018216561,I,129336,CSIRO,2020-03-05,618895,67,"IFREMER, France",CSIRO,Teledyne Webb Research float,March,Atlantic Ocean
argo_000065.nc,2020-03-06,-4.7247545947138505,99.00658412711132,P,927424,CSIRO,2020-03-06,326817,8,"AOML, USA",CSIRO,Teledyne Webb Research float,March,Pacific Ocean
argo_000066.nc,2020-03-07,-30.83992537664043,59.10217166146418,P,155350,AOML,2020-03-07,517216,8,"IFREMER, France",AOML,ARVOR float,March,Atlantic Ocean
argo_000067.nc,2020-03-08,12.142803749012579,48.837929050511576,A,693849,JAMSTEC,2020-03-08,102866,84,"AOML, USA",IFREMER,ARVOR float,March,Atlantic Ocean
argo_000068.nc,2020-03-09,-35.154208160814896,68.36977261126212,I,610470,CSIRO,2020-03-09,212669,47,"JAMSTEC, Japan",JAMSTEC,SOLO float,March,Indian Ocean
argo_000069.nc,2020-03-10,24.14765087903362,62.97911933232654,A,938387,IFREMER,2020-03-10,892330,4,"IFREMER, France",JAMSTEC,APEX float,March,Atlantic Ocean
argo_000070.nc,2020-03-11,10.19591000428273,63.7046496364792,P,161240,JAMSTEC,2020-03-11,380539,51,"IFREMER, France",AOML,Teledyne Webb Research float,March,Pacific Ocean
argo_000071.nc,2020-03-12,-27.08348070027879,58.688620083992795,I,775453,JAMSTEC,2020-03-12,794379,85,"AOML, USA",CSIRO,APEX float,March,Atlantic Ocean
argo_000072.nc,2020-03-13,-39.64106238696584,43.367455170908954,I,499371,CSIRO,2020-03-13,366150,67,"IFREMER, France",CSIRO,APEX float,March,Atlantic Ocean
argo_000073.nc,2020-03-14,13.004992849564218,41.42991477867311,P,670895,JAMSTEC,2020-03-14,789753,45,"IFREMER, France",JAMSTEC,ARVOR float,March,Indian Ocean
argo_000074.nc,2020-03-15,5.945727350095112,119.01779117888252,P,811028,JAMSTEC,2020-03-15,897388,8,"JAMSTEC, Japan",AOML,Teledyne Webb Research float,March,Pacific Ocean
argo_000075.nc,2020-03-16,7.385465922664174,74.22185069886899,P,281196,CSIRO,2020-03-16,543258,87,"IFREMER, France",JAMSTEC,Teledyne Webb Research float,March,Indian Ocean
argo_000076.nc,2020-03-17,10.132572534586473,70.74613177277453,P,415014,CSIRO,2020-03-17,589415,16,"CSIRO, Australia",IFREMER,ARVOR float,March,Atlantic Ocean
argo_000077.nc,2020-03-18,-35.187097637284126,94.3717826154456,P,549763,JAMSTEC,2020-03-18,457820,77,"AOML, USA",IFREMER,APEX float,March,Indian Ocean
argo_000078.nc,2020-03-19,-16.699727644622282,57.46031102920513,I,688398,IFREMER,2020-03-19,746012,67,"IFREMER, France",AOML,ARVOR float,March,Indian Ocean
argo_000079.nc,2020-03-20,-32.46851113086657,115.99689471601803,P,284626,AOML,2020-03-20,687189,9,"AOML, USA",AOML,SOLO float,March,Indian Ocean
argo_000080.nc,2020-03-21,16.10172268191358,102.90760115324417,I,776296,JAMSTEC,2020-03-21,993659,60,"AOML, USA",IFREMER,Teledyne Webb Research float,March,Indian Ocean
argo_000081.nc,2020-03-22,0.5143782437912634,47.15288018498076,I,479039,JAMSTEC,2020-03-22,824857,78,"AOML, USA",CSIRO,SOLO float,March,Atlantic Ocean
argo_000082.nc,2020-03-23,-18.4916283845778,73.40646206279428,P,628714,IFREMER,2020-03-23,588029,77,"IFREMER, France",AOML,ARVOR float,March,Atlantic Ocean
argo_000083.nc,2020-03-24,-35.868707231408465,110.32946460497317,P,844199,JAMSTEC,2020-03-24,741480,71,"IFREMER, France",IFREMER,Teledyne Webb Research float,March,Pacific Ocean
argo_000084.nc,2020-03-25,-19.786149088481956,115.57856178331282,I,914038,JAMSTEC,2020-03-25,272646,15,"AOML, USA",IFREMER,SOLO float,March,Indian Ocean
argo_000085.nc,2020-03-26,-18.863084068261443,77.39212089998958,P,541048,AOML,2020-03-26,393561,71,"CSIRO, Australia",CSIRO,SOLO float,March,Indian Ocean
argo_000086.nc,2020-03-27,7.424401591974167,89.07291113685662,P,652439,AOML,2020-03-27,450164,98,"AOML, USA",CSIRO,APEX float,March,Pacific Ocean
argo_000087.nc,2020-03-28,1.4412356380888554,53.36271568736602,P,373452,AOML,2020-03-28,445783,41,"CSIRO, Australia",CSIRO,Teledyne Webb Research float,March,Indian Ocean
argo_000088.nc,2020-03-29,17.668828267461222,119.29349009095813,A,340853,CSIRO,2020-03-29,558222,22,"AOML, USA",CSIRO,SOLO float,March,Pacific Ocean
argo_000089.nc,2020-03-30,-9.306029864473295,58.53373611067547,I,878883,CSIRO,2020-03-30,194881,24,"JAMSTEC, Japan",JAMSTEC,SOLO float,March,Atlantic Ocean
argo_000090.nc,2020-03-31,-32.22637401401039,115.41854193081005,A,276743,AOML,2020-03-31,342934,44,"AOML, USA",CSIRO,APEX float,March,Pacific Ocean
argo_000091.nc,2020-04-01,6.360911169494678,91.97173191938947,P,190306,AOML,2020-04-01,232659,1,"AOML, USA",JAMSTEC,SOLO float,April,Indian Ocean
argo_000092.nc,2020-04-02,9.451028160098332,88.61894359030873,A,849468,CSIRO,2020-04-02,745976,10,"IFREMER, France",AOML,SOLO float,April,Pacific Ocean
argo_000093.nc,2020-04-03,-3.5169821579827456,81.01508088132069,P,993416,IFREMER,2020-04-03,601323,80,"CSIRO, Australia",IFREMER,SOLO float,April,Atlantic Ocean
argo_000094.nc,2020-04-04,10.112866697046464,58.45358493742069,A,626492,JAMSTEC,2020-04-04,739872,72,"JAMSTEC, Japan",JAMSTEC,APEX float,April,Indian Ocean
argo_000095.nc,2020-04-05,-7.9032862363145995,54.12224256044066,P,192769,JAMSTEC,2020-04-05,810070,56,"CSIRO, Australia",AOML,SOLO float,April,Atlantic Ocean
argo_000096.nc,2020-04-06,-6.022366090170387,57.63889672561403,A,187265,AOML,2020-04-06,972999,89,"JAMSTEC, Japan",AOML,SOLO float,April,Atlantic Ocean
argo_000097.nc,2020-04-07,-12.209833806694274,54.91506097154036,A,917563,IFREMER,2020-04-07,847108,50,"AOML, USA",JAMSTEC,Teledyne Webb Research float,April,Pacific Ocean
argo_000098.nc,2020-04-08,-38.34775676163381,102.36675788534026,A,152428,CSIRO,2020-04-08,962318,12,"IFREMER, France",AOML,Teledyne Webb Research float,April,Atlantic Ocean
argo_000099.nc,2020-04-09,-32.98705724543521,68.01002073333841,I,658158,AOML,2020-04-09,841184,89,"IFREMER, France",AOML,APEX float,April,Indian Ocean
argo_000100.nc,2020-04-10,-37.957102930362275,44.62741412507171,A,727835,IFREMER,2020-04-10,915864,81,"CSIRO, Australia",JAMSTEC,ARVOR float,April,Atlantic Ocean
argo_000101.nc,2020-04-11,1.3666767321457272,117.52821041126491,I,860278,IFREMER,2020-04-11,279689,60,"IFREMER, France",AOML,Teledyne Webb Research float,April,Atlantic Ocean
argo_000102.nc,2020-04-12,-19.566861230038768,110.70287079707406,P,149067,IFREMER,2020-04-12,434517,26,"CSIRO, Australia",CSIRO,APEX float,April,Pacific Ocean
argo_000103.nc,2020-04-13,-6.942905074294323,114.22018265561704,A,862371,CSIRO,2020-04-13,265289,78,"CSIRO, Australia",CSIRO,SOLO float,April,Atlantic Ocean
argo_000104.nc,2020-04-14,18.99182080519605,119.59262581171483,P,212217,CSIRO,2020-04-14,383028,41,"JAMSTEC, Japan",IFREMER,SOLO float,April,Pacific Ocean
argo_000105.nc,2020-04-15,-23.79600510532313,53.91161993755898,P,518184,JAMSTEC,2020-04-15,367598,36,"CSIRO, Australia",AOML,APEX float,April,Pacific Ocean
argo_000106.nc,2020-04-16,-13.325110002684067,71.6993615122127,A,723222,JAMSTEC,2020-04-16,699248,23,"JAMSTEC, Japan",IFREMER,SOLO float,April,Indian Ocean
argo_000107.nc,2020-04-17,9.110824005298163,100.6590780563273,I,242980,IFREMER,2020-04-17,202421,43,"IFREMER, France",CSIRO,SOLO float,April,Indian Ocean
argo_000108.nc,2020-04-18,-25.12811924304454,95.68164944430337,A,602367,IFREMER,2020-04-18,338245,6,"CSIRO, Australia",CSIRO,ARVOR float,April,Indian Ocean
argo_000109.nc,2020-04-19,-34.996305861128455,52.311672507188405,P,436851,CSIRO,2020-04-19,667906,69,"CSIRO, Australia",CSIRO,SOLO float,April,Indian Ocean
argo_000110.nc,2020-04-20,-21.166155560605077,105.26664999924942,P,309329,JAMSTEC,2020-04-20,147111,43,"AOML, USA",AOML,Teledyne Webb Research float,April,Pacific Ocean
argo_000111.nc,2020-04-21,-29.520616328489712,57.95524574693285,A,357354,IFREMER,2020-04-21,532829,25,"CSIRO, Australia",AOML,SOLO float,April,Atlantic Ocean
argo_000112.nc,2020-04-22,20.43034740226725,57.905409185809845,I,623406,JAMSTEC,2020-04-22,316750,18,"CSIRO, Australia",CSIRO,APEX float,April,Indian Ocean
argo_000113.nc,2020-04-23,12.5278246716871,82.95795383147308,I,161215,JAMSTEC,2020-04-23,220592,62,"AOML, USA",IFREMER,ARVOR float,April,Indian Ocean
argo_000114.nc,2020-04-24,1.1712441731775272,87.43519478733626,P,811195,IFREMER,2020-04-24,334000,13,"AOML, USA",IFREMER,SOLO float,April,Indian Ocean
argo_000115.nc,2020-04-25,16.64493836220165,86.40689662702489,P,411573,CSIRO,2020-04-25,880277,43,"IFREMER, France",JAMSTEC,APEX float,April,Atlantic Ocean
argo_000116.nc,2020-04-26,12.238684998442437,47.31894699182039,I,968584,IFREMER,2020-04-26,422137,78,"CSIRO, Australia",CSIRO,Teledyne Webb Research float,April,Indian Ocean
argo_000117.nc,2020-04-27,-27.872946172407673,110.19686901043043,A,732336,IFREMER,2020-04-27,228652,28,"IFREMER, France",IFREMER,SOLO float,April,Atlantic Ocean
argo_000118.nc,2020-04-28,18.016334901848552,61.24800340709648,P,269530,JAMSTEC,2020-04-28,608069,18,"IFREMER, France",CSIRO,ARVOR float,April,Pacific Ocean
argo_000119.nc,2020-04-29,-4.942754275482706,50.361193702624334,I,277241,IFREMER,2020-04-29,702960,59,"AOML, USA",IFREMER,SOLO float,April,Pacific Ocean
argo_000120.nc,2020-04-30,12.483610085664061,111.09984638951818,P,238731,CSIRO,2020-04-30,874639,60,"JAMSTEC, Japan",JAMSTEC,APEX float,April,Pacific Ocean
argo_000121.nc,2020-05-01,18.245934495027058,116.45211985838027,A,553830,IFREMER,2020-05-01,952557,63,"IFREMER, France",JAMSTEC,ARVOR float,May,Atlantic Ocean
argo_000122.nc,2020-05-02,-19.32977412682885,108.97020938123605,I,864265,CSIRO,2020-05-02,317516,57,"JAMSTEC, Japan",CSIRO,SOLO float,May,Indian Ocean
argo_000123.nc,2020-05-03,-32.84662490570101,104.76128597799024,P,439384,CSIRO,2020-05-03,479653,92,"CSIRO, Australia",IFREMER,Teledyne Webb Research float,May,Indian Ocean
argo_000124.nc,2020-05-04,-25.184214434773793,92.41935845112174,A,526009,JAMSTEC,2020-05-04,161602,51,"AOML, USA",AOML,ARVOR float,May,Indian Ocean
argo_000125.nc,2020-05-05,-12.23799373929334,84.06858964873115,P,213688,AOML,2020-05-05,303117,56,"CSIRO, Australia",JAMSTEC,Teledyne Webb Research float,May,Indian Ocean
argo_000126.nc,2020-05-06,13.17095978496205,46.95894079291281,A,408617,AOML,2020-05-06,337069,27,"CSIRO, Australia",CSIRO,APEX float,May,Indian Ocean
argo_000127.nc,2020-05-07,15.947487911662321,72.67625704565589,A,983194,JAMSTEC,2020-05-07,666510,32,"AOML, USA",CSIRO,SOLO float,May,Atlantic Ocean
argo_000128.nc,2020-05-08,-39.548111515472606,69.81508136098512,I,844748,IFREMER,2020-05-08,935655,9,"CSIRO, Australia",IFREMER,Teledyne Webb Research float,May,Pacific Ocean
argo_000129.nc,2020-05-09,-6.80142533245823,60.7803027008261,A,590834,JAMSTEC,2020-05-09,341084,96,"AOML, USA",CSIRO,APEX float,May,Indian Ocean
argo_000130.nc,2020-05-10,-12.868284795329366,97.87360909508679,P,993388,CSIRO,2020-05-10,342318,84,"JAMSTEC, Japan",JAMSTEC,SOLO float,May,Pacific Ocean
argo_000131.nc,2020-05-11,-25.562992319402532,79.67005880630167,A,480596,AOML,2020-05-11,689621,92,"CSIRO, Australia",CSIRO,APEX float,May,Atlantic Ocean
argo_000132.nc,2020-05-12,-32.20875112331062,46.483697272611835,A,811111,JAMSTEC,2020-05-12,808092,97,"AOML, USA",CSIRO,Teledyne Webb Research float,May,Atlantic Ocean
argo_000133.nc,2020-05-13,-18.055013858764184,57.6146561559849,I,834275,IFREMER,2020-05-13,484794,68,"IFREMER, France",AOML,APEX float,May,Indian Ocean
argo_000134.nc,2020-05-14,21.289130754313746,94.66070109276768,A,369150,JAMSTEC,2020-05-14,149420,46,"CSIRO, Australia",AOML,ARVOR float,May,Atlantic Ocean
argo_000135.nc,2020-05-15,-18.99180941865091,46.09046875922402,A,349243,AOML,2020-05-15,699792,98,"JAMSTEC, Japan",JAMSTEC,SOLO float,May,Pacific Ocean
argo_000136.nc,2020-05-16,-6.278609586681206,108.0965531239015,P,698506,JAMSTEC,2020-05-16,626750,67,"AOML, USA",IFREMER,APEX float,May,Indian Ocean
argo_000137.nc,2020-05-17,5.696232328186561,79.61172216111794,I,296416,JAMSTEC,2020-05-17,371604,26,"CSIRO, Australia",AOML,Teledyne Webb Research float,May,Indian Ocean
argo_000138.nc,2020-05-18,-16.36407584534589,78.44692618613183,I,656718,AOML,2020-05-18,723607,8,"CSIRO, Australia",IFREMER,SOLO float,May,Pacific Ocean
argo_000139.nc,2020-05-19,23.165835376862447,87.3926227727614,I,123091,CSIRO,2020-05-19,880962,6,"CSIRO, Australia",JAMSTEC,ARVOR float,May,Indian Ocean
argo_000140.nc,2020-05-20,22.559074171237228,105.97447727401193,A,881413,CSIRO,2020-05-20,764635,80,"JAMSTEC, Japan",AOML,SOLO float,May,Indian Ocean
argo_000141.nc,2020-05-21,-23.63415077135133,67.82473663217544,I,648277,AOML,2020-05-21,768629,24,"AOML, USA",IFREMER,ARVOR float,May,Pacific Ocean
argo_000142.nc,2020-05-22,-7.678847116994945,94.24129220472508,A,175451,JAMSTEC,2020-05-22,753881,48,"IFREMER, France",AOML,SOLO float,May,Indian Ocean
argo_000143.nc,2020-05-23,-20.44290986190997,85.2585571196633,A,118990,AOML,2020-05-23,222672,94,"IFREMER, France",JAMSTEC,APEX float,May,Indian Ocean
argo_000144.nc,2020-05-24,-21.485367865464607,61.362261613553706,P,452414,CSIRO,2020-05-24,559158,45,"IFREMER, France",JAMSTEC,APEX float,May,Pacific Ocean
argo_000145.nc,2020-05-25,-37.60234842195537,110.29039890841264,P,966792,IFREMER,2020-05-25,435064,13,"AOML, USA",AOML,Teledyne Webb Research float,May,Atlantic Ocean
argo_000146.nc,2020-05-26,-0.37831829130670513,103.79408172855425,P,350541,JAMSTEC,2020-05-26,613953,69,"IFREMER, France",IFREMER,ARVOR float,May,Pacific Ocean
argo_000147.nc,2020-05-27,-7.325863490124,92.67614677267403,P,922513,CSIRO,2020-05-27,908985,25,"JAMSTEC, Japan",CSIRO,Teledyne Webb Research float,May,Indian Ocean
argo_000148.nc,2020-05-28,-36.653881168750694,108.04653832753935,P,766393,JAMSTEC,2020-05-28,517582,20,"AOML, USA",CSIRO,APEX float,May,Pacific Ocean
argo_000149.nc,2020-05-29,-21.887979824620256,109.3835360767842,A,470416,AOML,2020-05-29,144036,82,"CSIRO, Australia",AOML,ARVOR float,May,Indian Ocean
argo_000150.nc,2020-05-30,19.037282587832493,96.66903813720279,A,902673,IFREMER,2020-05-30,248441,82,"JAMSTEC, Japan",IFREMER,Teledyne Webb Research float,May,Indian Ocean
argo_000151.nc,2020-05-31,-24.428477106646792,106.96106626909376,I,224932,AOML,2020-05-31,242867,66,"CSIRO, Australia",CSIRO,Teledyne Webb Research float,May,Pacific Ocean
argo_000152.nc,2020-06-01,-30.5818333140705,95.79771693354269,A,368083,IFREMER,2020-06-01,170021,74,"IFREMER, France",JAMSTEC,Teledyne Webb Research float,June,Indian Ocean
